whs_source_page,comments,whs_site_id,latitude,longitude,name,edited name,wikipedia_link,Country,iso_code,Criteria,Date of Inscription,size_has,Region,Edited region
http://whc.unesco.org/en/list/885,,885,39.05,66.83333,Historic Centre of Shakhrisyabz,Historic Centre of Shakhrisyabz,http://en.wikipedia.org/wiki/Shahrisabz,Uzbekistan,UZ,"iii,iv",2000,240,Kashkadarya region,Kashkadarya region
http://whc.unesco.org/en/list/717,,717,43.318611,11.331667,Historic Centre of Siena,Historic Centre of Siena,http://en.wikipedia.org/wiki/Siena,Italy,IT,"i,ii,iv",1995,170,"City and Province of Siena, Tuscany","City and Province of Siena, Tuscany"
http://whc.unesco.org/en/list/902,,902,46.217778,24.792222,Historic Centre of SighiÅoara,Historic Centre of SighiÅoara,http://en.wikipedia.org/wiki/Sighi%C5%9Foara_Citadel,Romania,RO,"iii,v",1999,,"MureÅ County, Region of Transylvania","MureÅ County, Region of Transylvania"
http://whc.unesco.org/en/list/621,,621,49.18333,15.45,Historic Centre of TelÄ,Historic Centre of Telč,http://en.wikipedia.org/wiki/Tel%25C4%258D,Czech Republic,CZ,"i,iv",1992,36,Vysocina Region,Vysocina Region
http://whc.unesco.org/en/list/789,,789,43.076944,11.678611,Historic Centre of the City of Pienza,Historic Centre of the City of Pienza,http://en.wikipedia.org/wiki/Pienza,Italy,IT,"i,ii,iv",1996,4.41,"Province of Siena, Tuscany","Province of Siena, Tuscany"
http://whc.unesco.org/en/list/784,,784,47.800556,13.043333,Historic Centre of the City of Salzburg,Historic Centre of the City of Salzburg,http://en.wikipedia.org/wiki/Salzburg,Austria,AT,"ii,iv,vi",1996,236,Salzburg,Salzburg
http://whc.unesco.org/en/list/890,,890,-18.233333,-43.6,Historic Centre of the Town of Diamantina,Historic Centre of the Town of Diamantina,"http://en.wikipedia.org/wiki/Diamantina,_Minas_Gerais",Brazil,BR,"ii,iv",1999,29,State of Minas Gerais,State of Minas Gerais
http://whc.unesco.org/en/list/993,,993,-15.93328,-50.13336,Historic Centre of the Town of GoiÃ¡s,Historic Centre of the Town of Goiás,"http://en.wikipedia.org/wiki/Goi%25C3%25A1s,_Goi%25C3%25A1s",Brazil,BR,"ii,iv",2001,40,State of GoiÃ¡s,State of GoiÃ¡s
http://whc.unesco.org/en/list/189,,189,-8.013333,-34.845,Historic Centre of the Town of Olinda,Historic Centre of the Town of Olinda,http://en.wikipedia.org/wiki/Olinda,Brazil,BR,"ii,iv",1982,120,"State of Pernambuco, North-East Region of Brazil","State of Pernambuco, North-East Region of Brazil"
http://whc.unesco.org/en/list/828,,828,43.725,12.63333,Historic Centre of Urbino,Historic Centre of Urbino,http://en.wikipedia.org/wiki/Urbino,Italy,IT,"ii,iv",1998,29,"Province of Pesaro, Marche Region","Province of Pesaro, Marche Region"
http://whc.unesco.org/en/list/1033,,1033,48.216667,16.383333,Historic Centre of Vienna,Historic Centre of Vienna,http://en.wikipedia.org/wiki/Vienna,Austria,AT,"ii,iv,vi",2001,371,Vienna,Vienna
http://whc.unesco.org/en/list/30,,30,52.26639,21.01167,Historic Centre of Warsaw,Historic Centre of Warsaw,http://en.wikipedia.org/wiki/Warsaw_Old_Town,Poland,PL,"ii,vi",1980,26,"City and County of Warsaw, Masovian Voivodship","City and County of Warsaw, Masovian Voivodship"
http://whc.unesco.org/en/list/676,,676,22.76667,-102.55556,Historic Centre of Zacatecas,Historic Centre of Zacatecas,"http://en.wikipedia.org/wiki/Zacatecas,_Zacatecas",Mexico,MX,"ii,iv",1993,110,"Zacatecas State, Zacatecas Municipality","Zacatecas State, Zacatecas Municipality"
http://whc.unesco.org/en/list/822,,822,59.43333,24.733333,Historic Centre (Old Town) of Tallinn,Historic Centre (Old Town) of Tallinn,http://en.wikipedia.org/wiki/Tallinn,Estonia,EE,"ii,iv",1997,113,County of Harju,County of Harju
http://whc.unesco.org/en/list/569,,569,40.069444,20.133333,Historic Centres of Berat and Gjirokastra,Historic Centres of Berat and Gjirokastra,http://en.wikipedia.org/wiki/Historic_Centres_of_Berat_and_Gjirokastra,Albania,AL,"iii,iv",2008,59,N40 4 10 E20 7 60,N40 4 10 E20 7 60
http://whc.unesco.org/en/list/1067,,1067,54.3025,13.085278,Historic Centres of Stralsund and Wismar,Historic Centres of Stralsund and Wismar,http://en.wikipedia.org/wiki/Wismar,Germany,DE,"ii,iv",2002,168,State of Mecklenburg-Western Pomerania (Mecklenburg-Vorpommern),State of Mecklenburg-Western Pomerania (Mecklenburg-Vorpommern)
http://whc.unesco.org/en/list/576,,576,14.34778,100.56056,Historic City of Ayutthaya,Historic City of Ayutthaya,http://en.wikipedia.org/wiki/Ayutthaya_Historical_Park,Thailand,TH,iii,1991,289,Ayutthaya Province,Ayutthaya Province
http://whc.unesco.org/en/list/793,,793,33.88333,-5.55833,Historic City of Meknes,Historic City of Meknes,http://en.wikipedia.org/wiki/Meknes,Morocco,MA,iv,1996,,"region centre sud, Wilaya de Meknes","region centre sud, Wilaya de Meknes"
http://whc.unesco.org/en/list/566,,566,-19.04306,-65.25917,Historic City of Sucre,Historic City of Sucre,http://en.wikipedia.org/wiki/Sucre,Bolivia (Plurinational State of),BO,iv,1991,114,"Department de Chuquisaca, Province Oropeza","Department de Chuquisaca, Province Oropeza"
http://whc.unesco.org/en/list/379,,379,39.866889,-4.029417,Historic City of Toledo,Historic City of Toledo,"http://en.wikipedia.org/wiki/Toledo,_Ohio",Spain,ES,"i,ii,iii,iv",1986,,"Province of Toledo, Autonomous Community of Castile-La Mancha","Province of Toledo, Autonomous Community of Castile-La Mancha"
http://whc.unesco.org/en/list/810,,810,43.5125,16.25167,Historic City of Trogir,Historic City of Trogir,http://en.wikipedia.org/wiki/Trogir,Croatia,HR,"ii,iv",1997,6.4,County of Split-Dalmatia,County of Split-Dalmatia
