_SourcePage,name,wikipedia_link,Coordinates,Country,Criteria,Date of Inscription,size_has,Ref,Region
http://whc.unesco.org/en/list/817,Hwaseong Fortress,http://en.wikipedia.org/wiki/Hwaseong_Fortress,N37 16 19.992 E127 0 29.988,"Korea, Republic of",(ii)(iii),1997,,817.0,Kyonggi-do Province
http://whc.unesco.org/en/list/417,"Ibiza, Biodiversity and Culture",http://en.wikipedia.org/wiki/Ibiza,N38 54 40.1 E1 26 6.7,Spain,(ii)(iii)(iv)(ix)(x),1999,8564.0,417.0,Balearic Islands
http://whc.unesco.org/en/list/8,Ichkeul National Park,http://en.wikipedia.org/wiki/Ichkeul_Lake,N37 9 48.996 E9 40 28.992,Tunisia,(x),1980,12600.0,8.0,"Bizerta District, 25 km southwest of Bizerta"
http://whc.unesco.org/en/list/355,IguaÃ§u National Park,http://en.wikipedia.org/wiki/Igua%25C3%25A7u_National_Park,S25 40 59.988 W54 25 59.988,Brazil,(vii)(x),1986,170086.0,355.0,ParanÃ¡ State
http://whc.unesco.org/en/list/303,Iguazu National Park,http://en.wikipedia.org/wiki/Iguaz%25C3%25BA_National_Park,S25 31 5 W54 7 60,Argentina,(vii)(x),1984,55000.0,303.0,Province: Misiones - Region: Nord-Est
http://whc.unesco.org/en/list/1149,Ilulissat Icefjord,http://en.wikipedia.org/wiki/Ilulissat,N69 7 60 W49 30 0,Denmark,(vii)(viii),2004,402400.0,1149.0,"West coast of Greenland, Bay of Disko Bugt (bight), Municipality of Ilulissat"
http://whc.unesco.org/en/list/439,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,http://en.wikipedia.org/wiki/Forbidden_City,Date of Inscription: 1987,China,(i)(ii)(iii)(iv),2004,13.0,439.0,N41 47 39 E123 26 49
http://whc.unesco.org/en/list/1004,Imperial Tombs of the Ming and Qing Dynasties,http://en.wikipedia.org/wiki/Imperial_Tombs_of_the_Ming_and_Qing_Dynasties,N41 42 26 E124 47 38,China,(i)(ii)(iii)(iv)(vi),2000,3435.0,1004.0,"Nanjing City, Jiangsu Province (Xiaoling Tomb); Changping District, Beijing (Ming Tombs)"
http://whc.unesco.org/en/list/1107,Incense Route - Desert Cities in the Negev,http://en.wikipedia.org/wiki/Incense_Route_%25E2%2580%2593_Desert_Cities_in_the_Negev,N30 32 27.996 E35 9 38.988,Israel,(iii)(v),2005,,1107.0,Negev Region
http://whc.unesco.org/en/list/78,Independence Hall,http://en.wikipedia.org/wiki/Independence_Hall,N39 56 55 W75 9 0,United States of America,(vi),1979,,78.0,"Philadelphia, Commonwealth of Pennsylvania"
http://whc.unesco.org/en/list/867,Ir.D.F. Woudagemaal (D.F. Wouda Steam Pumping Station),http://en.wikipedia.org/wiki/Ir.D.F._Woudagemaal,N52 50 44.988 E5 40 44.004,Netherlands,(i)(ii)(iv),1998,7.32,867.0,"Lemmer, Lemsterland Municipality, Province of Friesland"
http://whc.unesco.org/en/list/371,Ironbridge Gorge,http://en.wikipedia.org/wiki/Ironbridge_Gorge,N52 37 35 W2 28 22,United Kingdom of Great Britain and Northern Ireland,(i)(ii)(iv)(vi),1986,,371.0,"Shropshire, England"
http://whc.unesco.org/en/list/966,Ischigualasto / Talampaya Natural Parks,http://en.wikipedia.org/wiki/Talampaya_National_Park,S30 0 0 W68 0 0,Argentina,(viii),2000,275369.0,966.0,Provinces of San Juan and La Rioja
http://whc.unesco.org/en/list/914,iSimangaliso Wetland Park,http://en.wikipedia.org/wiki/ISimangaliso_Wetland_Park,S27 50 20.004 E32 32 60,South Africa,(vii)(ix)(x),1999,239566.0,914.0,KwaZulu-Natal
http://whc.unesco.org/en/list/26,Island of Gorée,http://en.wikipedia.org/wiki/Gor%25C3%25A9e,N14 40 1.992 W17 24 2.988,Senegal,(vi),1978,,26.0,Cape Verde Region
http://whc.unesco.org/en/list/599,Island of Mozambique,http://en.wikipedia.org/wiki/Island_of_Mozambique,S15 2 3.012 E40 44 8.988,Mozambique,(iv)(vi),1991,,599.0,"Ilha de Mocambique District, Nampula Province"
http://whc.unesco.org/en/list/956,Island of Saint-Louis,"http://en.wikipedia.org/wiki/Saint-Louis,_Senegal",N16 1 40.008 W16 30 15.984,Senegal,(ii)(iv),2000,,956.0,Region of Saint-Louis
http://whc.unesco.org/en/list/1182,Islands and Protected Areas of the Gulf of California,http://en.wikipedia.org/wiki/Gulf_of_California,N27 37 36.012 W112 32 44.988,Mexico,(vii)(ix)(x),2005,,1182.0,"States of Baja California, Baja California Sur, Sonora, Sinaloa, and Nayarit"
http://whc.unesco.org/en/list/908,Isole Eolie (Aeolian Islands),http://en.wikipedia.org/wiki/Aeolian_Islands,N38 29 16.3 E14 56 44.1,Italy,(viii),2000,1216.0,908.0,Mediterranean Sea - Southern Tyrrhenian Sea
http://whc.unesco.org/en/list/543,Itchan Kala,http://en.wikipedia.org/wiki/Itchan_Kala,N41 22 41.988 E60 21 50.004,Uzbekistan,(iii)(iv)(v),1990,26.0,543.0,"Khorezm region, Khiva"
http://whc.unesco.org/en/list/776,Itsukushima Shinto Shrine,http://en.wikipedia.org/wiki/Itsukushima_Shrine,N34 17 39.9 E132 19 28.7,Japan,(i)(ii)(iv)(vi),1996,431.0,776.0,Hiroshima Prefecture
http://whc.unesco.org/en/list/1246,Iwami Ginzan Silver Mine and its Cultural Landscape,http://en.wikipedia.org/wiki/Iwami_Ginzan_Silver_Mine,N35 6 46 E132 26 6,Japan,(ii)(iii)(v),2007,529.0,1246.0,"Shimane Prefecture, Ohda City District"
http://whc.unesco.org/en/list/761,James Island and Related Sites,http://en.wikipedia.org/wiki/James_Island_(Gambia),N13 18 58.2 W16 21 25.9,Gambia,(iii)(vi),2003,7.6,761.0,Lower Niumi and Upper Niumi districts
